Review,Length,Negative,Positive,Date,Stars
review395,72,-2,1,2018-03-27,1
review396,282,-1,3,2018-03-22,4
review397,229,-3,2,2018-03-28,1
review398,219,-3,2,2018-03-29,3
review399,258,-2,2,2018-03-25,1
review400,182,-2,1,2018-03-25,1
review401,213,-1,1,2018-03-27,2
review402,222,-3,1,2018-03-26,2
review403,158,-4,2,2018-03-30,1
review404,139,-4,3,2018-03-27,1
review405,171,-1,1,2018-03-23,2
review406,286,-3,1,2018-03-27,4
review407,196,-2,2,2018-03-27,1
review408,295,-1,4,2018-03-27,5
review409,158,-1,1,2018-03-25,2
review410,328,-2,1,2018-03-27,1
review411,126,-3,3,2018-03-23,1
review412,256,-1,2,2018-03-31,4
review413,1572,-4,2,2018-03-23,1
review414,113,-2,1,2018-03-24,1
review415,134,-1,3,2018-03-24,4
review416,149,-2,1,2018-03-27,1
review417,145,-2,2,2018-03-30,1
review418,96,-4,1,2018-03-26,1
review419,145,-4,1,2018-03-26,2
review420,199,-3,1,2018-03-26,1
review421,175,-1,2,2018-03-22,2
review422,320,-1,3,2018-03-27,5
review423,160,-1,3,2018-03-28,4
review424,107,-3,1,2018-03-29,1
review425,114,-2,1,2018-03-26,2
review426,112,-3,1,2018-03-28,2
review427,123,-1,3,2018-03-23,4
review428,133,-4,3,2018-03-25,2
review429,258,-1,3,2018-03-27,1
review430,163,-2,2,2018-04-01,1
review431,908,-4,3,2018-03-24,5
review432,185,-2,1,2018-03-24,2
review433,208,-1,3,2018-03-25,5
review434,131,-1,1,2018-03-30,1
review435,127,-2,2,2018-03-23,3
review436,198,-1,3,2018-03-27,1
review437,151,-1,1,2018-03-30,1
review438,208,-1,1,2018-03-29,4
review439,120,-1,1,2018-03-28,2
review440,217,-1,1,2018-04-01,2
review441,316,-3,3,2018-03-27,1
review442,197,-1,3,2018-04-03,1
review443,198,-2,1,2018-03-26,3
review444,80,-4,1,2018-03-24,1
review445,166,-1,3,2018-03-31,4
review446,90,-2,1,2018-03-30,2
review447,84,-1,2,2018-03-27,1
review448,85,-2,1,2018-03-31,1
review449,55,-1,1,2018-03-28,1
review450,91,-4,1,2018-03-24,2
review451,138,-1,3,2018-03-26,4
review452,64,-1,1,2018-03-25,1
review453,50,-3,1,2018-03-23,3
review454,158,-1,1,2018-03-23,1
review455,145,-1,2,2018-03-23,2
review456,174,-1,1,2018-03-25,5
review457,151,-1,3,2018-03-29,5
review458,99,-1,1,2018-03-24,1
review459,33,-1,1,2018-03-27,1
review460,132,-1,1,2018-03-24,3
review461,113,-1,3,2018-03-31,5
review462,83,-1,1,2018-03-22,3
review463,127,-1,3,2018-03-22,4
review464,106,-1,4,2018-03-26,4
review465,122,-1,3,2018-03-28,4
review466,121,-2,2,2018-03-30,5
review467,103,-1,3,2018-03-28,5
review468,65,-1,3,2018-03-27,5
review469,102,-1,2,2018-03-25,5
review470,110,-1,3,2018-03-27,4
review471,71,-1,1,2018-03-26,1
review472,93,-1,3,2018-03-27,5
review473,106,-1,1,2018-03-26,5
review474,62,-1,1,2018-03-26,5
review475,85,-1,2,2018-03-28,4
review476,70,-1,1,2018-03-28,3
review477,69,-2,1,2018-03-27,1
review478,74,-1,2,2018-03-26,5
review479,47,-1,2,2018-03-21,4
review480,70,-1,2,2018-03-23,5
review481,103,-1,3,2018-03-24,5
review482,35,-1,1,2018-03-25,2
review483,23,-2,1,2018-03-29,1
review484,40,-1,1,2018-04-01,1
review485,73,-1,3,2018-03-28,5
review486,91,-1,3,2018-03-26,5
review487,52,-1,2,2018-03-24,4
review488,62,-1,2,2018-03-27,5
review489,65,-1,3,2018-03-27,5
review490,18,-1,1,2018-03-31,5
review491,31,-1,1,2018-03-26,1
review492,53,-1,3,2018-03-24,5
review493,53,-1,2,2018-03-28,5
review494,64,-1,2,2018-03-30,5
review495,46,-1,1,2018-03-30,5
review496,51,-1,3,2018-03-24,5
review497,50,-1,3,2018-03-23,5
review498,49,-1,3,2018-03-26,5
review499,10,-1,1,2018-03-24,5
review500,43,-1,2,2018-03-26,5
review501,43,-2,1,2018-03-30,1
review502,37,-1,1,2018-03-27,3
review503,29,-1,1,2018-03-27,5
review504,40,-1,2,2018-03-31,5
review505,22,-2,1,2018-03-24,5
review506,19,-1,3,2018-03-24,4
review507,14,-1,3,2018-03-24,5
review508,15,-2,2,2018-03-25,4
review509,22,-1,1,2018-03-28,5
review510,12,-1,1,2018-03-27,5
review511,9,-1,3,2018-03-28,5
review512,9,-1,3,2018-03-26,5
review513,4,-1,2,2018-03-24,5
review514,343,-1,1,2018-03-17,1
review515,409,-3,2,2018-03-18,1
review516,147,-2,1,2018-03-18,1
review517,82,-1,1,2018-03-18,2
review518,160,-1,1,2018-04-03,2
review519,50,-1,3,2018-03-19,1
review520,44,-1,3,2018-03-20,5
review521,508,-2,3,2017-09-14,2
review522,399,-2,3,2018-03-03,4
review523,341,-1,2,2017-11-20,4
review524,468,-4,3,2017-08-29,3
review525,477,-3,3,2018-01-08,4
review526,279,-2,3,2018-01-01,3
review527,349,-4,1,2018-03-11,1
review528,380,-1,4,2017-08-29,5
review529,426,-1,3,2018-01-14,3
review530,410,-4,2,2018-02-04,1
review531,375,-4,3,2018-04-01,1
review532,396,-2,3,2018-05-21,1
review533,276,-4,2,2018-01-18,3
review534,158,-2,1,2018-02-23,5
review535,424,-4,2,2018-03-30,1
review536,377,-1,1,2018-01-06,2
review537,197,-1,2,2018-01-01,1
review538,264,-1,1,2017-12-23,1
review539,444,-1,3,2017-11-28,3
review540,200,-2,1,2017-10-09,3
review541,476,-4,3,2018-03-29,1
review542,245,-1,2,2017-10-14,3
review543,636,-3,1,2017-12-05,2
review544,359,-3,3,2017-12-26,1
review545,311,-4,1,2018-01-07,1
review546,303,-3,3,2018-03-09,2
review547,191,-2,2,2018-04-19,2
review548,219,-4,1,2017-10-17,3
review549,255,-3,1,2017-09-23,3
review550,203,-1,2,2018-02-24,3
review551,167,-4,1,2017-11-21,3
review552,110,-2,2,2017-08-28,4
review553,236,-2,3,2017-10-22,1
review554,157,-1,2,2017-09-17,3
review555,176,-2,3,2017-12-11,5
review556,168,-2,3,2017-10-17,2
review557,384,-4,2,2017-11-20,3
review558,626,-2,2,2017-11-29,1
review559,349,-3,3,2017-11-18,2
review560,222,-1,2,2017-10-25,4
review561,343,-2,1,2018-01-03,2
review562,115,-3,1,2017-10-22,1
review563,155,-3,3,2018-02-01,1
review564,100,-1,2,2018-02-17,2
review565,194,-3,1,2017-11-16,3
review566,207,-1,3,2017-09-19,3
review567,158,-1,3,2017-12-01,4
review568,146,-1,2,2017-12-11,3
review569,127,-4,3,2017-12-06,1
review570,317,-1,2,2018-02-08,3
review571,245,-1,2,2018-02-26,1
review572,64,-1,2,2018-03-10,3
review573,183,-1,2,2017-09-07,3
review574,568,-2,2,2018-01-05,3
review575,158,-2,1,2017-11-20,4
review576,428,-2,2,2017-11-19,1
